User_ID     First_Name                                         Last_Name                                          Username                                           Email                                                                                                Password                                                                                                                                                                                                                                                           User_Type            Status
----------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ---------------------------------------------------------------------------------------------------- ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ -------------------- --------------------
1           Admin                                              Admin                                              admin                                              admin@example.com                                                                                    0xE1223D9BBCD82236F9F09AE1F5578E3CBBD4E8F48954CEAD3003BE60AC85629726DC04B1F875353459F97BA4A4283A1A6ADB89D3524BB4816C7125964097106C                                                                                                                                 Admin                approved
2           FirstName1                                         LastName1                                          username1                                          user1@example.com                                                                                    0x9D4BB2149079F509C95F7BC5DD2B1E829F23955ED564FB989A66861CFCF90A3A                                                                                                                                                                                                 Applicant            approved
3           FirstName2                                         LastName2                                          username2                                          user2@example.com                                                                                    0xDF6835729E1FFD9002C0D2B9670577D6C1F5BCB3BC1C28EB312EF210500515A1                                                                                                                                                                                                 Applicant            approved
4           FirstName3                                         LastName3                                          username3                                          user3@example.com                                                                                    0xDE077BF5A67FA95B73BD776B2057ED4C82A1CC314D7665626320FC46F599E9E4                                                                                                                                                                                                 Applicant            approved
5           FirstName4                                         LastName4                                          username4                                          user4@example.com                                                                                    0x1A408E77F690C5099BCF2726150C88132E251F6FE3DC55AF03CF2B5A2FDE5F1E                                                                                                                                                                                                 Applicant            approved
6           FirstName5                                         LastName5                                          username5                                          user5@example.com                                                                                    0x1447F7E68CA631A4A9757E5EBB36B10A973F9169BCA232BFDA6F7D1F2CAC9F61                                                                                                                                                                                                 Applicant            approved
7           FirstName6                                         LastName6                                          username6                                          user6@example.com                                                                                    0x3C12BA684569AB69299FB344F976AC38624B6D035ACDB5B19FAD4269F9BE879C                                                                                                                                                                                                 Applicant            approved
8           FirstName7                                         LastName7                                          username7                                          user7@example.com                                                                                    0x37FA4DE53985D084A01632F795113FA2F82C1AB92FFE6462F7DB629F0B3BC884                                                                                                                                                                                                 Applicant            approved
9           FirstName8                                         LastName8                                          username8                                          user8@example.com                                                                                    0x7C0D9D0AB52F42310A38E8B6ED250D5E7B7CD62C41FC18988A60A7F54E43C21B                                                                                                                                                                                                 Applicant            approved
10          FirstName9                                         LastName9                                          username9                                          user9@example.com                                                                                    0x0D57348D58C23D5199FC1CAB037116BC1831BA6AF46E01BF1118D1F4B8D7B568                                                                                                                                                                                                 Applicant            approved
11          FirstName10                                        LastName10                                         username10                                         user10@example.com                                                                                   0x5E4CA57DE0DD6BDC254314AF01C89E6C39E313140F0554FE0999BA91D9201621                                                                                                                                                                                                 Applicant            approved
12          FirstName11                                        LastName11                                         username11                                         user11@example.com                                                                                   0xB4BD1F8278AD6974D08910DC337850D9D4AA93041559B3EB8C80C8D5F96165EA                                                                                                                                                                                                 Applicant            approved
13          FirstName12                                        LastName12                                         username12                                         user12@example.com                                                                                   0xFEF0012D2CCEBE82130FD8ADB6DA0D9D5B7D3DEB2F67246CD6614E7F7BA34DED                                                                                                                                                                                                 Applicant            approved
